id,price,rooms,floor,full_area,living_area,kitchen_area,num_storeys,typical_panel,concrete_monolithic,old_brick,first_rental,adjacent_separate,ukrainian_brick,eurorenovation,satisfactory_condition,multilevel,kitchen_living_room,penthouse,old_panel,good_condition,pre_revolutionary,gas_block,repair_in_progress,free_planning,adjacent,separate,ukrainian_panel,Stalinka,excellent_condition,studio,designer_renovation,safe,shower_cabin,wardrobe,TV,hair_dryer,dishes,satellite_TV,DVD_player,washing_machine,fireplace,dishwashers,alarms,bed,counters,air_conditioning,refrigerator,jacuzzi,microwave,iron,cable_TV,lat,lon,district_lat,district_lon,min_dist_to_subway,dist_to_center,full_area_log,floor_other,num_storeys_other,living_area_log,kitchen_area_log,last_floor,first_floor,full_area|kitchen_area_log,dist_to_center|full_area_log,dist_to_center|full_area_log|kitchen_area,subway,district,needs_repairs
10792076,17000,3,11,120.0,70.0,12.0,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4892259,30.4976858,50.5079205,30.520662466796946,1.3969426132447291,4.601249600978586,4.795790545596741,11,25,4.248495242049359,2.5649493574615367,False,False,46.78454943015361,0.9594350623179796,6625.799425409164,оболонь,Оболонський,0
10687608,7800,2,1,50.0,32.0,7.0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,50.4667984,30.4166424,50.467421,30.463848,0.851031018643954,7.606232076394608,3.9318256327243257,1,3,3.4657359027997265,2.079441541679836,False,True,24.0449173481494,1.9345293476619208,2662.181226738113,берестейська,Шевченківський,0
10822762,30400,2,13,109.0,65.0,25.0,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,50.4340362,30.48436849736659,50.4398558,30.4886551,0.8992356950461633,3.167525732861261,4.700480365792417,13,24,4.174387269895637,3.258096538021482,False,False,33.4551167308847,0.6738727717943085,8631.507622046936,вокзальна,Солом'янський,0
10822754,7500,2,1,48.0,27.0,8.0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.46147475,30.34828613828183,50.459437050000005,30.331931174544472,0.494884038389989,12.303363785125333,3.8918202981106265,1,10,3.295836866004329,2.19722457733622,False,True,21.845741439044097,3.161339127373965,4724.491693488128,академмістечко,Святошинський,0
10822712,18000,2,9,87.0,44.0,17.0,25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,50.4386435,30.451824112672128,50.4398558,30.4886551,1.556459139059584,5.067929314594685,4.477336814478207,9,25,3.784189633918261,2.8903717578961645,False,False,30.09993429472384,1.1319070966934406,7495.467456285539,політехнічний інститут,Солом'янський,0
10753417,30000,4,6,132.0,70.0,15.0,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,50.4578322,30.47808154675761,50.467421,30.463848,0.5144715536549802,3.132320789284064,4.890349128221754,6,19,4.248495242049359,2.772588722239781,False,False,47.60893634933579,0.6405106684935293,6201.995162782447,лук'янівська,Шевченківський,0
10753595,55100,4,10,185.0,80.0,50.0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,50.443163850000005,30.52304121001873,50.44582665,30.53806236407185,0.3767921053177761,0.838975501245799,5.225746673713202,10,15,4.382026634673881,3.9318256327243257,False,False,47.05193395664782,0.1605465311715267,7760.523386523641,театральна,Печерський,0
10769665,25000,4,7,180.0,90.0,20.0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,50.4546979,30.5938714,50.45182665,30.611397100290525,0.56480105508998,5.217819257595396,5.198497031265826,7,25,4.499809670330265,3.044522437723423,False,False,59.12257297554919,1.0037168870566548,18784.149327343424,лівобережна,Дніпровський,0
10822587,12500,2,8,52.0,34.0,9.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.40722835,30.63104063166205,50.429108,30.6424672,0.9194748146734851,9.203865183532775,3.970291913552122,8,9,3.5263605246161616,2.302585092994046,False,False,22.583313058969093,2.318183494799581,4307.408905893339,позняки,Дарницький,0
10822673,15000,1,21,41.0,14.0,12.0,26,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,50.433515,30.4436709,50.4398558,30.4886551,2.341353979670107,5.7901385618071055,3.737669618283368,21,26,2.6390573296152584,2.5649493574615367,False,False,15.984721055302485,1.5491306490771093,2848.748172409096,політехнічний інститут,Солом'янський,0
