iter	Passed	Remaining
728	4443	1651
729	4449	1645
730	4455	1639
731	4461	1633
732	4466	1626
733	4472	1620
734	4477	1614
735	4482	1608
736	4489	1602
737	4494	1595
738	4499	1589
739	4506	1583
740	4512	1577
741	4517	1570
742	4524	1564
743	4529	1558
744	4537	1553
745	4544	1547
746	4549	1540
747	4556	1535
748	4561	1528
749	4566	1522
750	4573	1516
751	4579	1510
752	4585	1504
753	4591	1497
754	4596	1491
755	4603	1485
756	4609	1479
757	4614	1473
758	4620	1467
759	4626	1460
760	4631	1454
761	4638	1448
762	4643	1442
763	4649	1436
764	4657	1430
765	4662	1424
766	4668	1418
767	4674	1411
768	4679	1405
769	4685	1399
770	4691	1393
771	4696	1387
772	4703	1381
773	4708	1374
774	4713	1368
775	4719	1362
776	4725	1356
777	4731	1350
778	4736	1343
779	4741	1337
780	4748	1331
781	4755	1325
782	4760	1319
783	4767	1313
784	4772	1307
785	4777	1300
786	4785	1295
787	4791	1288
788	4796	1282
789	4804	1277
790	4811	1271
791	4819	1265
792	4826	1259
793	4835	1254
794	4842	1248
795	4854	1244
796	4863	1238
797	4870	1232
798	4875	1226
799	4881	1220
800	4886	1214
801	4892	1207
802	4898	1201
803	4903	1195
804	4909	1189
805	4915	1183
806	4920	1176
807	4927	1170
808	4932	1164
809	4937	1158
810	4944	1152
811	4951	1146
812	4956	1140
813	4963	1134
814	4968	1127
815	4974	1121
816	4980	1115
817	4985	1109
818	4991	1103
819	4997	1096
820	5002	1090
821	5008	1084
822	5014	1078
823	5019	1072
824	5025	1065
825	5030	1059
826	5035	1053
827	5042	1047
828	5047	1041
829	5052	1034
830	5059	1029
831	5066	1023
832	5071	1016
833	5078	1010
834	5083	1004
835	5090	998
836	5095	992
837	5100	985
838	5107	980
839	5113	973
840	5118	967
841	5125	961
842	5130	955
843	5135	949
844	5141	943
845	5147	936
846	5152	930
847	5158	924
848	5163	918
849	5171	912
850	5179	906
851	5184	900
852	5191	894
853	5197	888
854	5203	882
855	5208	876
856	5213	869
857	5220	863
858	5225	857
859	5230	851
860	5237	845
861	5242	839
862	5247	833
863	5253	826
864	5258	820
865	5264	814
866	5272	808
867	5277	802
868	5283	796
869	5289	790
870	5294	784
871	5300	778
872	5306	771
873	5312	765
874	5318	759
875	5323	753
876	5329	747
877	5336	741
878	5341	735
879	5346	729
880	5352	723
881	5358	716
882	5367	711
883	5372	705
884	5377	698
885	5385	692
886	5391	686
887	5396	680
888	5402	674
889	5408	668
890	5413	662
891	5419	656
892	5424	649
893	5430	643
894	5436	637
895	5441	631
896	5447	625
897	5452	619
898	5457	613
899	5464	607
900	5469	600
901	5474	594
902	5481	588
903	5488	582
904	5493	576
905	5500	570
906	5505	564
907	5510	558
908	5515	552
909	5520	546
910	5529	540
911	5534	533
912	5539	527
913	5546	521
914	5552	515
915	5559	509
916	5564	503
917	5570	497
918	5577	491
919	5582	485
920	5589	479
921	5594	473
922	5599	467
923	5605	461
924	5611	454
925	5616	448
926	5622	442
927	5627	436
928	5633	430
929	5639	424
930	5646	418
931	5652	412
932	5658	406
933	5665	400
934	5672	394
935	5677	388
936	5682	382
937	5689	376
938	5694	369
939	5699	363
940	5706	357
941	5711	351
942	5716	345
943	5723	339
944	5728	333
945	5733	327
946	5739	321
947	5744	315
948	5750	309
949	5757	303
950	5763	296
951	5771	291
952	5777	284
953	5782	278
954	5788	272
955	5793	266
956	5800	260
957	5805	254
958	5810	248
959	5817	242
960	5822	236
961	5827	230
962	5834	224
963	5839	218
964	5844	211
965	5851	205
966	5858	199
967	5863	193
968	5869	187
969	5874	181
970	5879	175
971	5886	169
972	5891	163
973	5898	157
974	5903	151
975	5908	145
976	5915	139
977	5920	133
978	5925	127
979	5932	121
980	5937	115
981	5943	108
982	5951	102
983	5957	96
984	5964	90
985	5969	84
986	5974	78
987	5981	72
988	5986	66
989	5991	60
990	5997	54
991	6002	48
992	6007	42
993	6014	36
994	6019	30
995	6024	24
996	6031	18
997	6036	12
998	6041	6
999	6048	0
